the covid 19,5773
covid 19 vaccine,4060
covid 19 cases,3829
covid 19 pandemic,2751
new covid 19,1509
new delhi india,1192
the coronavirus pandemic,1171
the spread of,1147
during covid 19,1137
positive for covid,1077
due to covid,1077
new york usa,1031
new york city,988
covid 19 has,981
covid 19 deaths,930
covid 19 vaccines,891
tested positive for,886
covid 19 patients,853
about covid 19,845
covid 19 crisis,823
covid 19 testing,785
england united kingdom,782
cases of covid,781
during the covid,781
against covid 19,743
positive for coronavirus,731
covid 19 test,678
due to coronavirus,647
test positive for,614
tests positive for,605
thank you for,590
covid 19 relief,583
new coronavirus cases,564
around the world,564
the united states,558
covid 19 update,554
covid 19 outbreak,546
to the coronavirus,528
covid 19 vaccination,523
covid 19 response,481
covid 19 death,480
covid 19 lockdown,477
new south wales,477
new jersey usa,475
bbc news coronavirus,473
the coronavirus is,471
covid 19 tests,467
the white house,448
during the coronavirus,440
coronavirus covid 19,440
